iter	F1	Logloss
0	0.6278877529	0.6929294211
1	0.6528116349	0.6926335663
2	0.6515368421	0.6923963472
3	0.6540430313	0.6921496841
4	0.6522797884	0.6919165751
5	0.6511235718	0.6917295976
6	0.6507989907	0.691547992
7	0.6503363371	0.6913376953
8	0.6518014613	0.6911169046
9	0.6523432592	0.6909252196
10	0.6521757305	0.6907227774
11	0.6522737712	0.6905244545
12	0.6536581324	0.6903367705
13	0.6530527539	0.6900776469
14	0.6529765609	0.689896289
15	0.6532137519	0.6896858847
16	0.65228098	0.6894638883
17	0.6528997877	0.6892953911
18	0.6523258717	0.6891130167
19	0.6531155173	0.6888764927
20	0.653020386	0.6886796529
21	0.6523554962	0.6884960856
22	0.6514663431	0.6882249227
23	0.6504671331	0.6880387192
24	0.6517098489	0.6878825736
25	0.6523429336	0.6876933077
26	0.6523608734	0.6875488722
27	0.651881552	0.68738277
28	0.6509757936	0.687200338
29	0.6512348263	0.6870335674
30	0.6511511093	0.6868714721
31	0.6511725118	0.6867204899
32	0.6512094247	0.6865524929
33	0.651155019	0.6863804267
34	0.6513201872	0.6862419385
35	0.6512698213	0.6860677916
36	0.6516336861	0.6859174495
37	0.6514333543	0.6857490734
38	0.6507305229	0.6856142209
39	0.650798307	0.685459092
40	0.6507124895	0.68532671
41	0.6507450157	0.6851571651
42	0.6505376344	0.6850115429
43	0.6503866846	0.6848797985
44	0.6503381927	0.6847486982
45	0.6493036563	0.6845958142
46	0.650187077	0.6844737146
47	0.6502583057	0.6843502428
48	0.6503969421	0.6842384461
49	0.6506843564	0.6841042315
50	0.6506024096	0.6839593462
51	0.6505518486	0.6838264831
52	0.6503423075	0.6836620357
53	0.6505649599	0.6835018634
54	0.6501029974	0.6833609894
55	0.6499242807	0.6832373546
56	0.6502964302	0.6831095046
57	0.6506975962	0.6829135559
58	0.6506388702	0.6827965758
59	0.6509049679	0.682695723
60	0.6509655751	0.6825692837
61	0.6512234087	0.6823911086
62	0.651395427	0.6822594763
63	0.6514031255	0.682167288
64	0.6510865453	0.682062929
65	0.6513680494	0.6819530121
66	0.6513152366	0.6818435335
67	0.6510572113	0.681717198
68	0.6510258998	0.681598366
69	0.6507442604	0.6813999919
70	0.650605449	0.6812727766
71	0.6509263538	0.6811668841
72	0.6505132088	0.6809927318
73	0.6507615922	0.6808810426
74	0.6506419701	0.6807708159
75	0.650381165	0.6806611665
76	0.650345525	0.680566662
77	0.650347588	0.6804807594
78	0.6505942848	0.6803647391
79	0.6504092482	0.6802147717
80	0.6505169867	0.6801172199
81	0.6504071902	0.6800390312
82	0.6503502405	0.6799504834
83	0.6509135407	0.6797713755
84	0.6507956608	0.6795663124
85	0.6506736495	0.6794609354
86	0.6505006126	0.6793640593
87	0.6503295589	0.6792735597
88	0.6503865816	0.6791806157
89	0.6502492186	0.6790818608
90	0.6505596621	0.6790075572
91	0.6504415431	0.6788979016
92	0.6503549696	0.6787565889
93	0.6502979335	0.6786668303
94	0.6501838468	0.67857793
95	0.6503549696	0.6784495138
96	0.65040994	0.6783772179
97	0.6503171247	0.6782780749
98	0.6504291936	0.6781978391
99	0.6500549962	0.6781043303
