iter	Passed	Remaining
0	38	3832
1	78	3852
2	116	3779
3	155	3731
4	198	3769
5	236	3707
6	275	3665
7	316	3639
8	356	3606
9	397	3579
10	439	3553
11	478	3510
12	518	3470
13	573	3520
14	611	3466
15	650	3416
16	691	3378
17	732	3337
18	771	3287
19	813	3252
20	852	3206
21	891	3162
22	929	3112
23	973	3081
24	1011	3033
25	1050	2989
26	1088	2942
27	1127	2899
28	1166	2856
29	1206	2815
30	1245	2771
31	1285	2732
32	1325	2690
33	1372	2663
34	1413	2625
35	1452	2581
36	1494	2544
37	1534	2503
38	1573	2461
39	1612	2418
40	1652	2377
41	1691	2335
42	1729	2293
43	1770	2253
44	1814	2217
45	1853	2175
46	1891	2133
47	1932	2094
48	1973	2054
49	2013	2013
50	2054	1973
51	2094	1933
52	2133	1891
53	2176	1853
54	2215	1812
55	2255	1771
56	2294	1730
57	2333	1689
58	2374	1650
59	2412	1608
60	2451	1567
61	2492	1527
62	2532	1487
63	2571	1446
64	2611	1406
65	2650	1365
66	2689	1324
67	2729	1284
68	2769	1244
69	2809	1203
70	2847	1163
71	2887	1122
72	2927	1082
73	2965	1042
74	3006	1002
75	3046	962
76	3085	921
77	3125	881
78	3164	841
79	3203	800
80	3242	760
81	3282	720
82	3321	680
83	3360	640
84	3401	600
85	3440	560
86	3481	520
87	3520	480
88	3560	440
89	3599	399
90	3638	359
91	3677	319
92	3716	279
93	3756	239
94	3795	199
95	3835	159
96	3873	119
97	3913	79
98	3953	39
99	3992	0
